text,label
Nature documentary,0
Violent game footage,1
Fun facts for kids,0
Science homework help,0
Mature themes only,1
NSFW content ahead,1
Cooking with kids,0
Safe search enabled,0
Pornographic material,1
Want to see something violent?,1
Extreme violence depicted,1
Let's play a fun game,0
Explicit sexual content,1
Disturbing imagery,1
How to make weapons,1
Learn about history,0
Check out this gore video,1
Let's talk about drugs,1
Kid-friendly jokes,0
Adult content warning,1
Family friendly content,0
Educational resources,0
Children's story time,0
Math problem solving,0
Art and crafts,0
Educational video about animals,0
Graphic injury images,1
Drug dealing tips,1
18+ only content,1
School project ideas,0
Cartoon recommendations,0
Alcohol and substance abuse,1
