text,label
I'm getting angrier by the minute,1
Message 3: STOP DOING THAT NOW,1
No problems here,0
This is getting worse and worse,1
Things will improve,0
Message 2: I've had enough of this,1
This is unbearable,1
Message 0: I've had enough of this,1
My anger is boiling over,1
Message 2: STOP DOING THAT NOW,1
Message 1: I'm feeling overwhelmed,1
I respect your opinion,0
I'm losing my patience,1
Message 1: This is out of control,1
This is out of control,1
We should discuss this calmly,0
Message 3: This is getting worse and worse,1
Message 2: I can't take this anymore,1
Message 0: I can't take this anymore,1
Message 0: I'm feeling overwhelmed,1
Message 3: Things are escalating quickly,1
Let's calm down and talk,0
Message 0: Things are escalating quickly,1
Message 1: I'm getting angrier by the minute,1
Message 4: This is out of control,1
I'm feeling overwhelmed,1
Message 2: I'm feeling overwhelmed,1
Message 1: I've had enough of this,1
We can compromise,0
Message 1: STOP DOING THAT NOW,1
Message 4: I'm feeling overwhelmed,1
We can work this out,0
Message 3: I've had enough of this,1
I'm listening to you,0
Message 1: This is getting worse and worse,1
This situation is deteriorating,1
Message 4: This is getting worse and worse,1
Things are escalating quickly,1
Everything is fine,0
Message 0: STOP DOING THAT NOW,1
Everything is falling apart,1
Message 3: I can't take this anymore,1
STOP DOING THAT NOW,1
Message 0: I'm getting angrier by the minute,1
Message 4: I've had enough of this,1
Message 2: This is out of control,1
Message 4: STOP DOING THAT NOW,1
Can't deal with this anymore,1
Stay positive,0
Message 1: I can't take this anymore,1
We'll figure this out,0
Message 2: This is getting worse and worse,1
Let's find a solution,0
Message 3: This is out of control,1
Message 4: I can't take this anymore,1
I can't handle this stress,1
Message 0: This is getting worse and worse,1
Message 4: I'm getting angrier by the minute,1
Message 3: I'm feeling overwhelmed,1
Message 0: This is out of control,1
Let's be rational,0
Message 1: Things are escalating quickly,1
Message 4: Things are escalating quickly,1
I can't take this anymore,1
Message 2: I'm getting angrier by the minute,1
I understand your concern,0
I've had enough of this,1
Tomorrow is a new day,0
Let's take a break,0
Message 3: I'm getting angrier by the minute,1
I'm at my breaking point,1
Message 2: Things are escalating quickly,1
